item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
33413,himalaya tulasi syp 200ml,,syrup,himalaya tulasi,himalaya tulasi syrup 200,1,himalaya,himalaya,himalaya,himalaya,211130.0,himalaya wellness tulasi respiratory wellness syrup 200ml,syrup,himalaya,himalaya wellness tulasi respiratory syrup 200,himalaya wellness tulasi respiratory wellness syrup 200ml ,0.8164965809277261,0.8164965809277261,0,himalaya tulasi syrup 200ml ,0.0,ml ,ml ,200ml,Himalaya Drug Company,,,130,0,,,9,0.8164965809277261
33413,himalaya tulasi syp 200ml,,syrup,himalaya tulasi,himalaya tulasi syrup 200,1,himalaya,himalaya,himalaya,himalaya,210855.0,himalaya cystone syrup 200ml,syrup,himalaya,himalaya cystone syrup 200,himalaya cystone syrup 200ml ,0.75,0.8164965809277261,0,himalaya tulasi syrup 200ml ,0.0,ml ,ml ,200ml,Himalaya Drug Company,,,130,0,,,9,0.75
33413,himalaya tulasi syp 200ml,,syrup,himalaya tulasi,himalaya tulasi syrup 200,1,himalaya,himalaya,himalaya,himalaya,210877.0,himalaya evecare syrup 200ml,syrup,himalaya,himalaya evecare syrup 200,himalaya evecare syrup 200ml ,0.75,0.8164965809277261,0,himalaya tulasi syrup 200ml ,0.0,ml ,ml ,200ml,Himalaya Drug Company,,,130,0,,,9,0.75
33413,himalaya tulasi syp 200ml,,syrup,himalaya tulasi,himalaya tulasi syrup 200,1,himalaya,himalaya,himalaya,himalaya,210970.0,himalaya lukol syrup 200ml,syrup,himalaya,himalaya lukol syrup 200,himalaya lukol syrup 200ml ,0.75,0.8164965809277261,0,himalaya tulasi syrup 200ml ,0.0,ml ,ml ,200ml,Himalaya Drug Company,,,130,0,,,9,0.75
33413,himalaya tulasi syp 200ml,,syrup,himalaya tulasi,himalaya tulasi syrup 200,1,himalaya,himalaya,himalaya,himalaya,364489.0,himalaya septilin syrup 200ml,syrup,himalaya,himalaya septilin syrup 200,himalaya septilin syrup 200ml ,0.75,0.8164965809277261,0,himalaya tulasi syrup 200ml ,0.0,ml ,ml ,200ml,Himalaya Drug Company,,,130,0,,,9,0.75
33413,himalaya tulasi syp 200ml,,syrup,himalaya tulasi,himalaya tulasi syrup 200,1,himalaya,himalaya,himalaya,himalaya,376680.0,himalaya bresol syrup 200ml,syrup,himalaya,himalaya bresol syrup 200,himalaya bresol syrup 200ml ,0.75,0.8164965809277261,0,himalaya tulasi syrup 200ml ,0.0,ml ,ml ,200ml,Himalaya Drug Company,,,130,0,,,9,0.75
33413,himalaya tulasi syp 200ml,,syrup,himalaya tulasi,himalaya tulasi syrup 200,1,himalaya,himalaya,himalaya,himalaya,376686.0,himalaya renalka syrup 200ml,syrup,himalaya,himalaya renalka syrup 200,himalaya renalka syrup 200ml ,0.75,0.8164965809277261,0,himalaya tulasi syrup 200ml ,0.0,ml ,ml ,200ml,Himalaya Drug Company,,,130,0,,,9,0.75
33413,himalaya tulasi syp 200ml,,syrup,himalaya tulasi,himalaya tulasi syrup 200,1,himalaya,himalaya,himalaya,himalaya,376926.0,himalaya lukol syrup 200ml,syrup,himalaya,himalaya lukol syrup 200,himalaya lukol syrup 200ml ,0.75,0.8164965809277261,0,himalaya tulasi syrup 200ml ,0.0,ml ,ml ,200ml,Himalaya Drug Company,,,130,0,,,9,0.75
33413,himalaya tulasi syp 200ml,,syrup,himalaya tulasi,himalaya tulasi syrup 200,1,himalaya,himalaya,himalaya,himalaya,376927.0,himalaya geriforte syrup 200ml,syrup,himalaya,himalaya geriforte syrup 200,himalaya geriforte syrup 200ml ,0.75,0.8164965809277261,0,himalaya tulasi syrup 200ml ,0.0,ml ,ml ,200ml,Himalaya Drug Company,,,130,0,,,9,0.75
33417,polybion active syp 150ml,,syrup,polybion active,polybion active syrup 150,1,polybion,polybion,polybion,polybion,379692.0,polybion active mango sugar free syrup 150ml,syrup,polybion,polybion active mango sf syrup 150,polybion active mango sf syrup 150ml ,0.8164965809277261,0.8164965809277261,0,polybion active syrup 150ml ,0.0,ml ,ml ,150ml,Procter & Gamble Hygiene and Health Care Ltd,,,135.3,0,,,3,0.8164965809277261
