item_code,brand_x,brand_y,manufacturer,id,mrp,count
840209,himalaya meshashringi tablet 60's,himalaya hadjod tablet 60s,Reckitt Benckiser India Pvt Ltd,210913.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya lukol tablet 60s,Reckitt Benckiser India Pvt Ltd,210971.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya menosan tablet 60s,Reckitt Benckiser India Pvt Ltd,210978.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya pilex tablet 60s,Reckitt Benckiser India Pvt Ltd,211024.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya reosto tablet 60s,Reckitt Benckiser India Pvt Ltd,211044.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya rumalaya tablet 60s,Reckitt Benckiser India Pvt Ltd,211052.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya septilin tablet 60s,Reckitt Benckiser India Pvt Ltd,211056.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya abana tablet 60s,Reckitt Benckiser India Pvt Ltd,364394.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya confido tablet 60s,Reckitt Benckiser India Pvt Ltd,364419.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya diabecon tablet 60s,Reckitt Benckiser India Pvt Ltd,364423.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya purim tablet 60s,Reckitt Benckiser India Pvt Ltd,364483.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya speman tablet 60s,Reckitt Benckiser India Pvt Ltd,376669.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya ashvagandha tablet 60s,Reckitt Benckiser India Pvt Ltd,376923.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya arjuna tablet 60s,Reckitt Benckiser India Pvt Ltd,376924.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya pilex tablet 60s,Reckitt Benckiser India Pvt Ltd,377004.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya methi tablet 60s,Reckitt Benckiser India Pvt Ltd,380026.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya shatavari tablets 60s,Reckitt Benckiser India Pvt Ltd,381044.0,82,20
840209,himalaya meshashringi tablet 60's,himalaya wellness pure herbs meshashringi metabolic wellness tablet 60s,Reckitt Benckiser India Pvt Ltd,362470.0,82,20
15789,himalaya wellness triphala tablet 60's,himalaya wellness pure herbs triphala bowel wellness tablet 60s,Reckitt Benckiser India Pvt Ltd,362374.0,82,2
15789,himalaya wellness triphala tablet 60's,himalaya wellness pure herbs triphala bowel wellness tablet 60s,Reckitt Benckiser India Pvt Ltd,377139.0,82,2
814310,himalaya wellness ashvagandha tablet 60's,himalaya ashvagandha tablet 60s,Reckitt Benckiser India Pvt Ltd,376923.0,82,2
814310,himalaya wellness ashvagandha tablet 60's,himalaya wellness pure herbs ashvagandha tablet 60s,Reckitt Benckiser India Pvt Ltd,380593.0,82,2
921701,himalaya gokshura tribulus tablets 60's,himalaya wellness pure herbs gokshura tablet 60s,Reckitt Benckiser India Pvt Ltd,364509.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya bresol tablet 60s,Reckitt Benckiser India Pvt Ltd,210838.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya cystone tablet 60s,Reckitt Benckiser India Pvt Ltd,210857.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya hadjod tablet 60s,Reckitt Benckiser India Pvt Ltd,210913.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya lukol tablet 60s,Reckitt Benckiser India Pvt Ltd,210971.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya menosan tablet 60s,Reckitt Benckiser India Pvt Ltd,210978.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya pilex tablet 60s,Reckitt Benckiser India Pvt Ltd,211024.0,245,20
921701,himalaya gokshura tribulus tablets 60's,himalaya reosto tablet 60s,Reckitt Benckiser India Pvt Ltd,211044.0,245,20
