item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,category_c1,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
GAR0186,garlic cap 200's,,capsule,garlic,garlic 200s,1.0,garlic,garlic,garlic,199724.0,garlic pearls capsule 30s,AYURVEDIC,garlic,garlic pearls 30s,capsule,garlic pearls capsule 30s,0.40824829046386296,0.40824829046386296,200,30,1.0,0.0,garlic capsule 200s,2.0,,,2.0,,,1,RANBAXY PHARMA LTD,,,0.65,3,0.40824829046386296
GAR0186,garlic cap 200's,,capsule,garlic,garlic 200s,1.0,garlic,garlic,garlic,199725.0,garlic pearls capsule 10s,AYURVEDIC,garlic,garlic pearls 10s,capsule,garlic pearls capsule 10s,0.40824829046386296,0.40824829046386296,200,10,1.0,0.0,garlic capsule 200s,2.0,,,2.0,,,1,RANBAXY PHARMA LTD,,,0.65,3,0.40824829046386296
IMM0017,immunit  cap,,capsule,immunit,immunit capsule,1.0,immunit,immunit,immunit,213851.0,immunit capsule 15s,AYURVEDIC,immunit,immunit 15s,capsule,immunit capsule 15s,0.4999999999999999,0.4999999999999999,cap,15,1.0,0.0,immunit capsule,2.0,,,2.0,,,10,APX-APEX LABORATORIES LTD,,,2.6,2,0.4999999999999999
IMM0017,immunit  cap,,capsule,immunit,immunit capsule,1.0,immunit,immunit,immunit,213852.0,immunit capsule 60s,AYURVEDIC,immunit,immunit 60s,capsule,immunit capsule 60s,0.4999999999999999,0.4999999999999999,cap,60,1.0,0.0,immunit capsule,2.0,,,2.0,,,10,APX-APEX LABORATORIES LTD,,,2.6,2,0.4999999999999999
ITA0002,itaspor 150mg cap,,capsule,itaspor,itaspor 150 capsule,1.0,itaspor,itaspor,itaspor,216466.0,itaspor capsule 8s,RX,itaspor,itaspor 8s,capsule,itaspor capsule 8s,0.40824829046386296,0.40824829046386296,cap,8,1.0,0.0,itaspor 150mg capsule,2.0,mg,,2.0,150,,4,INTAS PHARMACEUTICALS LTD,,,44.88,4,0.40824829046386296
ITA0002,itaspor 150mg cap,,capsule,itaspor,itaspor 150 capsule,1.0,itaspor,itaspor,itaspor,216467.0,itaspor capsule 4s,RX,itaspor,itaspor 4s,capsule,itaspor capsule 4s,0.40824829046386296,0.40824829046386296,cap,4,1.0,0.0,itaspor 150mg capsule,2.0,mg,,2.0,150,,4,INTAS PHARMACEUTICALS LTD,,,44.88,4,0.40824829046386296
ITA0002,itaspor 150mg cap,,capsule,itaspor,itaspor 150 capsule,1.0,itaspor,itaspor,itaspor,216468.0,itaspor capsule 7s,RX,itaspor,itaspor 7s,capsule,itaspor capsule 7s,0.40824829046386296,0.40824829046386296,cap,7,1.0,0.0,itaspor 150mg capsule,2.0,mg,,2.0,150,,4,INTAS PHARMACEUTICALS LTD,,,44.88,4,0.40824829046386296
ITA0002,itaspor 150mg cap,,capsule,itaspor,itaspor 150 capsule,1.0,itaspor,itaspor,itaspor,370622.0,itaspor capsule 10s,,itaspor,itaspor 10s,capsule,itaspor capsule 10s,0.40824829046386296,0.40824829046386296,cap,10,1.0,0.0,itaspor 150mg capsule,2.0,mg,,2.0,150,,4,INTAS PHARMACEUTICALS LTD,,,44.88,4,0.40824829046386296
ITR0044,itratuf cap 7's,,capsule,itratuf,itratuf 7s,1.0,itratuf,itratuf,itratuf,216797.0,itratuf 100mg capsule 7s,RX,itratuf,itratuf 100 7s,capsule,itratuf 100mg capsule 7s,0.8164965809277259,0.8164965809277259,7,7,0.0,0.0,itratuf capsule 7s,2.0,,mg,2.0,,100,7,ALKEM LABORATORIES LTD,,,16.5,2,0.8164965809277259
ITR0044,itratuf cap 7's,,capsule,itratuf,itratuf 7s,1.0,itratuf,itratuf,itratuf,216800.0,itratuf 200 capsule 7s,RX,itratuf,itratuf 200 7s,capsule,itratuf 200 capsule 7s,0.8164965809277259,0.8164965809277259,7,7,0.0,0.0,itratuf capsule 7s,2.0,,,2.0,,,7,ALKEM LABORATORIES LTD,,,16.5,2,0.8164965809277259
