item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
13005,rb tone kid syp 100ml,,syrup,rb tone paediatric,rb tone paediatric syrup 100,1,rb tone,rb,rb,rb,287415.0,rb red xt syrup 150ml,syrup,rb,rb red syrup 150,rb red syrup 150ml ,0.4472135954999579,0.4472135954999579,0,rb tone paediatric syrup 100ml ,0.0,ml ,ml ,100ml,MEDLEY PHARMACEUTICALS LTD,,,125.75,0,,,2,0.4472135954999579
13005,rb tone kid syp 100ml,,syrup,rb tone paediatric,rb tone paediatric syrup 100,1,rb tone,rb,rb,rb,373829.0,rb 100 tablet 10s,tablet,rb,rb 100 10s,rb 100 tablet 10s ,0.4472135954999579,0.4472135954999579,0,rb tone paediatric syrup 100ml ,2.0,ml ,,100ml,MEDLEY PHARMACEUTICALS LTD,,,125.75,1,,,2,0.5163977794943222
13845,efnocar 40 10s,,others,efnocar 40 10s,efnocar 40 10s,0,efnocar 40,efnocar,efnocar,efnocar,184403.0,efnocar 40 tablet 10s,tablet,efnocar,efnocar 40 10s,efnocar 40 tablet 10s ,0.8660254037844387,0.8660254037844387,0,efnocar 40 10s ,2.0,,,10s,ZUVENTUS,,,131.85,1,,,2,1.0000000000000002
13845,efnocar 40 10s,,others,efnocar 40 10s,efnocar 40 10s,0,efnocar 40,efnocar,efnocar,efnocar,380399.0,efnocar t 40mg/40mg tablet 10s,tablet,efnocar,efnocar t 40/40 10s,efnocar t 40mg/40mg tablet 10s ,0.8164965809277259,0.8660254037844387,0,efnocar 40 10s ,2.0,,mg ,10s,ZUVENTUS,,,131.85,1,,,2,0.8728715609439696
14755,t-minic oral drop 15ml,,others,t minic oral,t minic oral drops 15,0,t minic,t,t,t,327013.0,t minic cold oral drops 15ml,others,t,t minic cold oral drops 15,t minic cold oral drops 15ml ,0.9128709291752768,0.9128709291752768,0,t minic oral drops 15ml ,0.0,ml ,ml ,15ml,GALAXO SMITH KLINE OTC,,,93.17,0,,,2,0.9128709291752768
14755,t-minic oral drop 15ml,,others,t minic oral,t minic oral drops 15,0,t minic,t,t,t,361948.0,t minic oral drops 15ml orange,others,t,t minic oral drops 15 orange,t minic oral drops 15ml orange ,0.9128709291752768,0.9128709291752768,0,t minic oral drops 15ml ,0.0,ml ,ml ,15ml,GALAXO SMITH KLINE OTC,,,93.17,0,,,2,0.9128709291752768
14845,restasis ophthalmic emulsion 5ml,,others,restasis ophthalmic emulsion,restasis ophthalmic emulsion 5,0,restasis ophthalmic,restasis,restasis,restasis,289993.0,restasis ophthalmic emulsion (0.4ml each) 30,others,restasis,restasis ophthalmic emulsion 0.4 each 30,restasis ophthalmic emulsion 0.4ml each 30 ,0.5669467095138409,0.5669467095138409,0,restasis ophthalmic emulsion 5ml ,0.0,ml ,ml ,5ml,ALLERGAN INDIA PVT LTD,,,2555.22,0,,,2,0.5669467095138409
14845,restasis ophthalmic emulsion 5ml,,others,restasis ophthalmic emulsion,restasis ophthalmic emulsion 5,0,restasis ophthalmic,restasis,restasis,restasis,289994.0,restasis ophthalmic emulsion (0.4ml each) 1,others,restasis,restasis ophthalmic emulsion 0.4 each 1,restasis ophthalmic emulsion 0.4ml each 1 ,0.5669467095138409,0.5669467095138409,0,restasis ophthalmic emulsion 5ml ,0.0,ml ,ml ,5ml,ALLERGAN INDIA PVT LTD,,,2555.22,0,,,2,0.5669467095138409
16265,szetalo 10tab 15s,,others,szetalo 10s 15s,szetalo 10s 15s,0,szetalo 10s,szetalo,szetalo,szetalo,320788.0,szetalo 10 tablet 10s,tablet,szetalo,szetalo 10 10s,szetalo 10 tablet 10s ,0.5773502691896258,0.5773502691896258,0,szetalo 10s 15s ,2.0,,,15s,ABBOTT HEALTH CARE,,,134.9,1,,,11,0.6666666666666667
16265,szetalo 10tab 15s,,others,szetalo 10s 15s,szetalo 10s 15s,0,szetalo 10s,szetalo,szetalo,szetalo,320789.0,szetalo 20 tablet 10s,tablet,szetalo,szetalo 20 10s,szetalo 20 tablet 10s ,0.5773502691896258,0.5773502691896258,0,szetalo 10s 15s ,2.0,,,15s,ABBOTT HEALTH CARE,,,134.9,1,,,11,0.6666666666666667
16265,szetalo 10tab 15s,,others,szetalo 10s 15s,szetalo 10s 15s,0,szetalo 10s,szetalo,szetalo,szetalo,320790.0,szetalo 5 tablet 10s,tablet,szetalo,szetalo 5 10s,szetalo 5 tablet 10s ,0.5773502691896258,0.5773502691896258,0,szetalo 10s 15s ,2.0,,,15s,ABBOTT HEALTH CARE,,,134.9,1,,,11,0.6666666666666667
16265,szetalo 10tab 15s,,others,szetalo 10s 15s,szetalo 10s 15s,0,szetalo 10s,szetalo,szetalo,szetalo,320791.0,szetalo ls tablet 10s,tablet,szetalo,szetalo ls 10s,szetalo ls tablet 10s ,0.5773502691896258,0.5773502691896258,0,szetalo 10s 15s ,2.0,,,15s,ABBOTT HEALTH CARE,,,134.9,1,,,11,0.6666666666666667
16265,szetalo 10tab 15s,,others,szetalo 10s 15s,szetalo 10s 15s,0,szetalo 10s,szetalo,szetalo,szetalo,320793.0,szetalo plus md tablet 10s,tablet,szetalo,szetalo plus 10s,szetalo plus tablet 10s ,0.5773502691896258,0.5773502691896258,0,szetalo 10s 15s ,2.0,,,15s,ABBOTT HEALTH CARE,,,134.9,1,,,11,0.6666666666666667
16265,szetalo 10tab 15s,,others,szetalo 10s 15s,szetalo 10s 15s,0,szetalo 10s,szetalo,szetalo,szetalo,320794.0,szetalo plus tablet 10s,tablet,szetalo,szetalo plus 10s,szetalo plus tablet 10s ,0.5773502691896258,0.5773502691896258,0,szetalo 10s 15s ,2.0,,,15s,ABBOTT HEALTH CARE,,,134.9,1,,,11,0.6666666666666667
16265,szetalo 10tab 15s,,others,szetalo 10s 15s,szetalo 10s 15s,0,szetalo 10s,szetalo,szetalo,szetalo,374877.0,szetalo 10 tablet 15s,tablet,szetalo,szetalo 10 15s,szetalo 10 tablet 15s ,0.5773502691896258,0.5773502691896258,0,szetalo 10s 15s ,2.0,,,15s,ABBOTT HEALTH CARE,,,134.9,1,,,11,0.6666666666666667
16265,szetalo 10tab 15s,,others,szetalo 10s 15s,szetalo 10s 15s,0,szetalo 10s,szetalo,szetalo,szetalo,374878.0,szetalo 20 tablet 15s,tablet,szetalo,szetalo 20 15s,szetalo 20 tablet 15s ,0.5773502691896258,0.5773502691896258,0,szetalo 10s 15s ,2.0,,,15s,ABBOTT HEALTH CARE,,,134.9,1,,,11,0.6666666666666667
16265,szetalo 10tab 15s,,others,szetalo 10s 15s,szetalo 10s 15s,0,szetalo 10s,szetalo,szetalo,szetalo,374879.0,szetalo 5 tablet 15s,tablet,szetalo,szetalo 5 15s,szetalo 5 tablet 15s ,0.5773502691896258,0.5773502691896258,0,szetalo 10s 15s ,2.0,,,15s,ABBOTT HEALTH CARE,,,134.9,1,,,11,0.6666666666666667
16265,szetalo 10tab 15s,,others,szetalo 10s 15s,szetalo 10s 15s,0,szetalo 10s,szetalo,szetalo,szetalo,376918.0,szetalo ls tablet 15s,tablet,szetalo,szetalo ls 15s,szetalo ls tablet 15s ,0.5773502691896258,0.5773502691896258,0,szetalo 10s 15s ,2.0,,,15s,ABBOTT HEALTH CARE,,,134.9,1,,,11,0.6666666666666667
16265,szetalo 10tab 15s,,others,szetalo 10s 15s,szetalo 10s 15s,0,szetalo 10s,szetalo,szetalo,szetalo,379540.0,szetalo plus tablet 15s,tablet,szetalo,szetalo plus 15s,szetalo plus tablet 15s ,0.5773502691896258,0.5773502691896258,0,szetalo 10s 15s ,2.0,,,15s,ABBOTT HEALTH CARE,,,134.9,1,,,11,0.6666666666666667
16605,otrivin paediatric nasal spray 10ml,,others,otrivin paediatric nasal,otrivin paediatric nasal spray 10,0,otrivin paediatric,otrivin,otrivin,otrivin,362543.0,otrivin paediatric 0.05% nasal spray 10ml,others,otrivin,otrivin paediatric 0.05% nasal spray 10,otrivin paediatric 0.05% nasal spray 10ml ,0.8451542547285165,0.8451542547285165,0,otrivin paediatric nasal spray 10ml ,0.0,ml ,ml ,10ml,GALAXO SMITH KLINE OTC,,,48.83,0,,,3,0.8451542547285165
16605,otrivin paediatric nasal spray 10ml,,others,otrivin paediatric nasal,otrivin paediatric nasal spray 10,0,otrivin paediatric,otrivin,otrivin,otrivin,267695.0,otrivin c nasal spray 10ml,others,otrivin,otrivin c nasal spray 10,otrivin c nasal spray 10ml ,0.7999999999999998,0.8451542547285165,0,otrivin paediatric nasal spray 10ml ,0.0,ml ,ml ,10ml,GALAXO SMITH KLINE OTC,,,48.83,0,,,3,0.7999999999999998
16605,otrivin paediatric nasal spray 10ml,,others,otrivin paediatric nasal,otrivin paediatric nasal spray 10,0,otrivin paediatric,otrivin,otrivin,otrivin,267704.0,otrivin s nasal spray 10ml,others,otrivin,otrivin s nasal spray 10,otrivin s nasal spray 10ml ,0.7999999999999998,0.8451542547285165,0,otrivin paediatric nasal spray 10ml ,0.0,ml ,ml ,10ml,GALAXO SMITH KLINE OTC,,,48.83,0,,,3,0.7999999999999998
16818,pure hands advanced 500ml,,others,pure hands advanced,pure hands advanced 500,0,pure hands,pure,pure,pure,282788.0,pure nutrition organic virgin olive oil 500ml,others,pure,pure nutrition organic virgin olive oil 500,pure nutrition organic virgin olive oil 500ml ,0.3779644730092272,0.3779644730092272,0,pure hands advanced 500ml ,0.0,ml ,ml ,500ml,HIMALAYA DRUG CO.,,,500.0,0,,,2,0.3779644730092272
16818,pure hands advanced 500ml,,others,pure hands advanced,pure hands advanced 500,0,pure hands,pure,pure,pure,282786.0,pure nutrition organic raw virgin coconut oil 500ml,others,pure,pure nutrition organic raw virgin coconut oil 500,pure nutrition organic raw virgin coconut oil 500ml ,0.3535533905932737,0.3779644730092272,0,pure hands advanced 500ml ,0.0,ml ,ml ,500ml,HIMALAYA DRUG CO.,,,500.0,0,,,2,0.3535533905932737
17732,nan pro 1 400gm,,others,nan pro 1,nan pro 1 400,0,nan pro,,,,248174.0,nan 25mg injection 1,injection,,nan 25 injection 1,nan 25mg injection 1 ,0.5,0.5,0,nan pro 1 400gm ,1.0,gm ,mg ,400gm,NESTLE INDIA LTD,,,725.0,1,,,2,0.5
17732,nan pro 1 400gm,,others,nan pro 1,nan pro 1 400,0,nan pro,,,,248175.0,nan 50mg injection 1,injection,,nan 50 injection 1,nan 50mg injection 1 ,0.5,0.5,0,nan pro 1 400gm ,1.0,gm ,mg ,400gm,NESTLE INDIA LTD,,,725.0,1,,,2,0.5
18562,insugen 30/70 vail 10ml,,others,insugen 30/70 vail,insugen 30/70 vail 10,0,insugen 30/70,insugen,insugen,insugen,215425.0,insugen 30/70 injection 100iu/ml 10ml,injection,insugen,insugen 30/70 injection 100 10,insugen 30/70 injection 100iu/ml 10ml ,0.7302967433402214,0.7302967433402214,0,insugen 30/70 vail 10ml ,1.0,ml ,iu/ml ,10ml,BIOCON,,,157.7,1,,,2,0.7302967433402214
18562,insugen 30/70 vail 10ml,,others,insugen 30/70 vail,insugen 30/70 vail 10,0,insugen 30/70,insugen,insugen,insugen,215426.0,insugen 30/70 injection 40iu/ml 10ml,injection,insugen,insugen 30/70 injection 40 10,insugen 30/70 injection 40iu/ml 10ml ,0.7302967433402214,0.7302967433402214,0,insugen 30/70 vail 10ml ,1.0,ml ,iu/ml ,10ml,BIOCON,,,157.7,1,,,2,0.7302967433402214
20129,insugen-r vial 10ml,,others,insugen r vial,insugen r vial 10,0,insugen r,insugen,insugen,insugen,215430.0,insugen injection 10ml,injection,insugen,insugen injection 10,insugen injection 10ml ,0.5773502691896258,0.5773502691896258,0,insugen r vial 10ml ,0.0,ml ,ml ,10ml,BIOCON,,,156.9,1,,,3,0.5773502691896258
20129,insugen-r vial 10ml,,others,insugen r vial,insugen r vial 10,0,insugen r,insugen,insugen,insugen,215436.0,insugen r 100iu/ml solution for injection 10ml,injection,insugen,insugen r 100 solution for injection 10,insugen r 100iu/ml solution for injection 10ml ,0.5669467095138409,0.5773502691896258,0,insugen r vial 10ml ,1.0,ml ,iu/ml ,10ml,BIOCON,,,156.9,1,,,3,0.5669467095138409
20129,insugen-r vial 10ml,,others,insugen r vial,insugen r vial 10,0,insugen r,insugen,insugen,insugen,215437.0,insugen r 40iu/ml solution for injection 10ml,injection,insugen,insugen r 40 solution for injection 10,insugen r 40iu/ml solution for injection 10ml ,0.5669467095138409,0.5773502691896258,0,insugen r vial 10ml ,1.0,ml ,iu/ml ,10ml,BIOCON,,,156.9,1,,,3,0.5669467095138409
20623,inhalex respules 10s,,others,inhalex respules 10s,inhalex respules 10s,0,inhalex respules,inhalex,inhalex,inhalex,214930.0,inhalex respules 5,others,inhalex,inhalex respules 5,inhalex respules 5 ,0.6666666666666667,0.6666666666666667,0,inhalex respules 10s ,2.0,,,10s,CIPLA LTD,,,27.28,0,,,3,0.6666666666666667
